state,capital
"Andhra Pradesh",Amaravati
"Arunachal Pradesh",Itanagar
"Assam",Dispur
"Bihar",Patna
"Chhattisgarh",Raipur
"Goa",Panaji
"Gujarat",Gandhinagar
"Haryana",Chandigarh
"Himachal Pradesh",Shimla (Summer)
"Himachal Pradesh",Dharamshala (Winter)
"Jharkhand",Ranchi
"Karnataka",Bengaluru
"Kerala",Thiruvananthapuram
"Madhya Pradesh",Bhopal
"Maharashtra",Mumbai
"Manipur",Imphal
"Meghalaya",Shillong
"Mizoram",Aizawl
"Nagaland",Kohima
"Odisha",Bhubaneswar
"Punjab",Chandigarh
"Rajasthan",Jaipur
"Sikkim",Gangtok
"Tamil Nadu",Chennai
"Telangana",Hyderabad
"Tripura",Agartala
"Uttar Pradesh",Lucknow
"Uttarakhand",Dehradun (Winter)
"Uttarakhand",Gairsain (Summer)
"West Bengal",Kolkata
"Andaman and Nicobar Islands",Port Blair
"Chandigarh",Chandigarh
"Dadra and Nagar Haveli and Daman and Diu",Daman
"Lakshadweep",Kavaratti
"Delhi",New Delhi
"Puducherry",Puducherry
"Jammu and Kashmir",Srinagar (Summer)
"Jammu and Kashmir",Jammu (Winter)
"Ladakh",Leh
