question,option1,option2,option3,correct_answer,fun_fact,image
"The Golden Gate Bridge is an iconic suspension bridge located in which U.S. city?",Seattle,Los Angeles,Portland,San Francisco,"Construction of the Golden Gate Bridge took over four years and was completed in 1937.",goldengate.png
"In which U.S. city would you find the Lincoln Memorial?",New York City,Boston,Chicago,Washington D.C.,"The statue of Abraham Lincoln inside the memorial is 19 feet (5.8 meters) tall.",lincolnmemorial.png
"The CN Tower, once the world's tallest free-standing structure, is located in which Canadian city?",Montreal,Vancouver,Calgary,Toronto,"It features a glass floor where visitors can look straight down 1,122 feet (342 meters).",cntower.png
"Mount Rushmore National Memorial, featuring four presidential faces, is located in which U.S. state?",Colorado,Wyoming,Montana,South Dakota,"The carving project took 14 years to complete, from 1927 to 1941.",mount_rushmore.jpeg
"The Gateway Arch, a symbol of westward expansion, is located in which U.S. city?",Kansas City,Denver,Nashville,St. Louis,"It is the tallest arch in the world and the tallest man-made monument in the Western Hemisphere.",gatewayarch.jpeg
"Which monument in Mexico City is a prominent symbol of Mexican independence?",Palacio de Bellas Artes,Templo Mayor,Chapultepec Castle,Angel of Independence,"The Angel of Independence column houses the remains of several heroes of the Mexican War of Independence."
"Where is the historic Space Needle located?",Miami,Houston,Orlando,Seattle,"It was built for the 1962 World's Fair, which had a 'Century 21' theme.",spaceneedle.jpeg
"The ancient Mayan ruins of Teotihuacan, including the Pyramid of the Sun, are located near which North American capital?",Guatemala City,Belmopan,San Salvador,Mexico City,"The Pyramid of the Sun is the third-largest pyramid in the world.",pyramidofsun.jpeg
"Which landmark in Niagara Falls allows visitors to experience the force of the falls from behind?",Cave of the Winds,Maid of the Mist,Skylon Tower,Journey Behind the Falls,"Visitors wear yellow ponchos to stay dry from the immense spray of the Horseshoe Falls."
"The Hollywood Sign is a cultural landmark located on Mount Lee in which U.S. city?",San Jose,San Diego,Las Vegas,Los Angeles,"The sign originally read 'Hollywoodland' and was an advertisement for a local real estate development.",hollywood.jpeg
"Machu Picchu, the ancient Inca citadel, is found in which South American country?",Brazil,Chile,Colombia,Peru,"It was built around 1450 and later abandoned, remaining hidden from the Spanish conquistadors.",machupichu.jpeg
"Christ the Redeemer statue stands overlooking which vibrant Brazilian city?",Buenos Aires,Santiago,Lima,Rio de Janeiro,"The statue is made of reinforced concrete and soapstone and stands 30 meters (98 feet) tall, excluding its 8-meter (26-foot) pedestal.",christRedemeer.jpeg
"The 'Mano del Desierto' (Hand of the Desert) is a large sculpture found in the Atacama Desert in which country?",Bolivia,Peru,Argentina,Chile,"The sculpture represents human vulnerability and helplessness, and was created by Chilean sculptor Mario Irarrázabal.",Mano_del_Desierto.jpeg
"Which monument in Cartagena, Colombia, is a massive fortress built by the Spanish to protect the city from pirate attacks?",Bolivar Square,Rosario Islands,La Popa Monastery,Castillo San Felipe de Barajas,"It is the largest fortification built by the Spanish in their colonies.",Castillo_San_Felipe.jpeg
"The Mitad del Mundo (Middle of the World) monument, marking the equator, is located near which South American capital?",Bogotá,Lima,Caracas,Quito,"While it accurately marks the equatorial line according to 18th-century measurements, modern GPS shows the true equator to be slightly to the north.",Mitad_del_Mundo.jpeg
